directory drwxr-xr-x 755 0 root 0 root 4096 1779517114 /usr/share/wazuh-indexer/certs
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 89800 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/password4j-1.8.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1944 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/plugin-descriptor.properties
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 3640 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/plugin-security.policy
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 82897 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/rank-eval-client-2.19.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 858966 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/scala-java8-compat_3-1.0.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 41125 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/slf4j-api-1.7.36.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 2338496 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/snappy-java-1.1.10.7.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 152047 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/special-collections-complete-1.4.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 195922 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/stax2-api-4.2.2.jar
directory drwxr-x--- 750 1000 wazuh-indexer 1000 wazuh-indexer 4096 1756728250 /usr/share/wazuh-indexer/plugins/opensearch-security/tools
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 4013 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/tools/SECURITY_ADMIN_TESTS.md
regular file -rwxr----- 740 1000 wazuh-indexer 1000 wazuh-indexer 1059 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/tools/audit_config_migrater.sh
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 636 1746010654 /usr/share/wazuh-indexer/plugins/opensearch-security/tools/config.yml
regular file -rwxr----- 740 1000 wazuh-indexer 1000 wazuh-indexer 1047 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/tools/hash.sh
regular file -rwxr----- 740 1000 wazuh-indexer 1000 wazuh-indexer 1088 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/tools/securityadmin.sh
regular file -rwxr----- 740 1000 wazuh-indexer 1000 wazuh-indexer 36475 1746010655 /usr/share/wazuh-indexer/plugins/opensearch-security/tools/wazuh-certs-tool.sh
regular file -rwxr----- 740 1000 wazuh-indexer 1000 wazuh-indexer 44137 1746010655 /usr/share/wazuh-indexer/plugins/opensearch-security/tools/wazuh-passwords-tool.sh
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 102227 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/transport-netty4-client-2.19.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 72007 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/txw2-2.3.9.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1620573 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/woodstox-core-6.7.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 173439 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/xmlschema-core-2.3.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1140679 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/xmlsec-2.3.5.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 34473 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/zjsonpatch-0.4.16.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 503012 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/zxcvbn-1.9.0.jar
directory drwxr-xr-x 755 1000 wazuh-indexer 1000 wazuh-indexer 4096 1779517126 /var/lib/wazuh-indexer
regular file -rw-rw-r-- 664 1000 wazuh-indexer 1000 wazuh-indexer 5 1779517125 /var/lib/wazuh-indexer/batch_metrics_enabled.conf
regular file -rw-rw-r-- 664 1000 wazuh-indexer 1000 wazuh-indexer 5 1779517125 /var/lib/wazuh-indexer/logging_enabled.conf
directory drwxrwxr-x 775 1000 wazuh-indexer 1000 wazuh-indexer 4096 1779517126 /var/lib/wazuh-indexer/nodes
directory drwxrwxr-x 775 1000 wazuh-indexer 1000 wazuh-indexer 4096 1780717418 /var/lib/wazuh-indexer/nodes/0
directory drwxrwxr-x 775 1000 wazuh-indexer 1000 wazuh-indexer 4096 1780712881 /var/lib/wazuh-indexer/nodes/0/_state
regular file -rw-rw-r-- 664 1000 wazuh-indexer 1000 wazuh-indexer 157 1780358403 /var/lib/wazuh-indexer/nodes/0/_state/_6g.fdm
regular file -rw-rw-r-- 664 1000 wazuh-indexer 1000 wazuh-indexer 286417 1780358403 /var/lib/wazuh-indexer/nodes/0/_state/_6g.fdt
regular file -rw-rw-r-- 664 1000 wazuh-indexer 1000 wazuh-indexer 108 1780358403 /var/lib/wazuh-indexer/nodes/0/_state/_6g.fdx
